FoodID,Food Item,Edible part,Ref,Water,Ref,Kilojoules,Ref,Kilocalories,Ref,Fat,Ref,SatFa,Ref,TransFa,Ref,MuFa,Ref,PuFa,Ref,Cholesterol,Ref,Carbo,Ref,Starch,Ref,Mono+Di,Ref,Sugar,Ref,Dietary fibre,Ref,Protein,Ref,Salt,Ref,Alcohol,Ref,Retinol,Ref,Beta-carotene,Ref,Vitamin A,Ref,Vitamin D,Ref,Vitamin E,Ref,Thiamin,Ref,Riboflavin,Ref,Niacin,Ref,Vitamin B6,Ref,Folate,Ref,Vitamin B12,Ref,Vitamin C,Ref,Calcium,Ref,Iron,Ref,Sodium,Ref,Potassium,Ref,Magnesium,Ref,Zinc,Ref,Selenium,Ref,Copper,Ref,Phosphorus,Ref,Iodine,Ref
,Abbreviations: M = Missing value. Ref = Reference,%,,g,,kJ,,kcal,,g,,g,,g,,g,,g,,mg,,g,,g,,g,,g,,g,,g,,g,,g,,µg,,µg,,RAE,,µg,,alfa-TE,,mg,,mg,,mg,,mg,,µg,,µg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,µg,,mg,,mg,,µg,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Milk and milk products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,Milk and milk based beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.228,"Milk, semi-skimmed, 1 % fat",100,0,91,51,175,60a,41,60b,1,73b,0.6,73h,0,73h,0.2,73h,0,73h,3,66a,4.6,63,0,10,4.6,73b,0,73c,0,10,3.5,73b,0.1,69,0,10,14,73b,7,73b,15,61,0,73b,0,51,0.05,51,0.15,73b,0.1,51,0.04,73b,11,73b,0.2,73b,0,73b,120,73b,0,73b,40,73b,157,51,13,51,0.6,73b,3,73b,0,73b,97,73b,16,74
01.229,"Milk, semi-skimmed, unspecified, appr. 1 % fat",100,0,90,51,180,60a,43,60b,1.2,73d,0.8,83,0,83,0.3,83,0,83,3,66a,4.7,63,0,10,4.7,73d,0,73d,0,10,3.3,73d,0.1,69,0,10,11,73d,10,73d,12,61,0,73g,0,51,0.05,51,0.15,51,0.1,51,0.04,73d,6,73d,0.4,73d,0,73d,116,73d,0,73d,40,73d,157,51,13,51,0.4,73d,1,73d,0.01,73d,90,73d,11,85
01.230,"Milk, semi-skimmed, vitamin D-enriched, 0,5 % fat",100,0,91,51,156,60a,37,60b,0.5,73b,0.3,73h,0,73h,0.1,73h,0,73h,1,66a,4.6,63,0,10,4.6,73b,0,73c,0,10,3.5,73b,0.1,69,0,10,6,51,6,51,6,61,0.4,73c,0,51,0.05,50,0.15,73b,0.1,73b,0.04,51,5,51,0.5,51,0,51,120,73b,0,51,40,73b,180,73b,13,51,0.4,51,1,51,0.01,51,90,51,16,74
01.231,"Milk, semi-skimmed, vitamin D-enriched, unspecified, app. 0,7 % fat",100,0,91,83,160,60a,38,60b,0.7,73d,0.4,73h,0,73h,0.1,73h,0,73h,1,66a,4.6,63,0,10,4.6,73b,0,73c,0,10,3.3,73d,0.1,69,0,10,6,51,6,51,6,61,0.4,73c,0,83,0.05,73d,0.15,73d,0.1,73d,0.04,51,5,83,0.5,83,0,83,116,73d,0,83,40,73d,165,73d,13,83,0.4,83,1,83,0.01,83,90,83,11,85
01.235,"Milk, whole milk, 3,9 % fat",100,0,87,85,278,60a,67,60b,3.9,85,2.7,85,0.1,85,1,85,0.2,85,10,85,4.6,85,0,85,4.6,85,0,85,0,85,3.3,85,0.1,69,0,10,36,85,25,85,38,85,0,85,0.1,85,0.05,85,0.15,85,0.1,85,0.04,85,11,85,0.6,85,0,85,120,85,0,85,40,85,180,85,13,85,0.6,85,0,85,0.02,85,97,85,16,74
01.236,"Milk, whole milk, unspecified",100,0,87,85,267,60a,64,60b,3.6,85,2.4,85,0.1,85,0.8,85,0.1,85,9,85,4.6,85,0,85,4.6,85,0,85,0,85,3.3,85,0.1,69,0,10,33,85,23,85,35,85,0,85,0.1,85,0.05,85,0.15,85,0.1,85,0.04,85,6,85,0.5,85,0,85,117,85,0,85,40,85,155,85,11,85,0.4,85,1,85,0.02,85,91,85,11,85
01.237,"Milk, semi-skimmed, with blueberries and raspberries, cultured, 0,1 % fat, BioQ",100,0,85,51,238,60a,56,60b,0.1,75,0.1,75,0,50,0,50,0,50,0,50,10.3,63,0,50,10.3,51,5,75,1.3,75,2.9,51,0.2,69,0,10,2,51,17,51,3,61,0,51,0,51,0.06,51,0.13,51,0.1,51,0.04,51,7,51,0.2,51,1,51,96,51,0,51,90,75,154,51,11,51,0.3,51,1,51,0,51,80,51,14,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,Yoghurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.011,"Yoghurt, whole milk, plain",100,0,86,117,313,60a,75,60b,4,73d,2.6,73h,0.1,73h,0.9,73h,0.1,73h,11,66a,5.6,63,0,10,5.6,73d,0,73d,0,10,4.1,73d,0.1,69,0,10,36,117,25,117,38,61,0,73g,0.1,117,0.04,73b,0.16,73b,0.1,117,0.05,117,21,469,0.5,73b,0,117,134,73d,0.1,73b,45,73b,173,117,16,117,0.4,117,2,117,0.03,117,113,117,14,51
01.074,"Yoghurt drink, fruit",100,0,81,117,330,60a,78,60b,1.3,73d,0.8,73h,0,73h,0.3,73h,0,73h,3,117,12.8,63,0,10,12.8,73d,7,73d,0,10,3.8,73d,0.1,69,0,10,13,117,13,117,14,61,0,73g,0,117,0.05,117,0.15,117,0.1,117,0.05,117,12,525,0.2,525,0,117,125,73d,0.1,117,50,73d,179,117,16,117,0.4,117,2,117,0.01,117,102,117,14,51
01.090,"Yoghurt, low fat, fruit, 0,5 % fat",100,0,82,117,296,60a,70,60b,0.6,50,0.4,50,0,50,0.2,50,0,50,3,50,12.4,50,0,10,12.4,50,7.2,50,0,10,3.7,50,0.1,69,0,10,8,50,6,50,8,61,0,50,0,50,0.05,50,0.14,50,0.2,50,0.04,50,23,419,0.2,50,0,50,110,50,0.1,50,43,50,152,419,9,50,0.3,50,1,50,0,50,64,50,M,20
01.094,"Yoghurt, fruit, with muesli",100,0,69,117,586,60a,139,60b,3.9,73d,2.5,73h,0.1,73h,0.9,73h,0.1,73h,13,117,21.1,63,7.3,73d,13.8,73d,10.3,73d,1.2,117,4.3,73d,0.2,69,0,10,28,117,19,117,29,61,0,73g,0.1,117,0.09,117,0.14,117,0.5,117,0.07,117,23,469,0.2,469,0,117,99,73d,0.1,117,65,117,182,117,24,117,0.3,117,1,117,0.02,117,106,117,14,51
01.096,"Yoghurt, with fruit",100,0,78,117,408,60a,97,60b,3.4,73d,2.2,73h,0.1,73h,0.8,73h,0.1,73h,9,117,13,63,0,10,13,73d,7.6,73d,0,62,3.6,73d,0.1,69,0,10,27,117,18,117,28,61,0,73g,0.1,117,0.05,117,0.15,117,0.1,117,0.07,117,23,417,0.4,73d,0,117,119,73d,0.4,117,41,73d,113,117,13,117,0.4,117,1,117,0,117,91,117,14,51
01.172,"Yoghurt, plain, Biola",100,0,83,117,332,60a,79,60b,2.9,117,1.8,117,0.1,117,0.8,117,0,117,12,117,8.9,117,0,10,8.9,117,3,117,0,10,4.3,117,0.1,69,0,10,28,117,29,117,30,61,0,50,0.1,117,0.08,117,0.16,117,0.2,117,0.04,117,11,117,0.2,117,0,117,136,117,0,30,46,117,197,117,15,117,0.5,117,1,117,0.03,50,111,117,M,20
01.173,"Yoghurt, with berry, Biola",100,0,80,117,350,60a,83,60b,1.6,73b,1,73h,0,73h,0.4,73h,0,73h,4,117,13.3,63,0,10,13.3,73b,6,73b,0,50,3.8,73b,0.1,69,0,10,24,117,38,117,27,61,0,73g,0.1,117,0.06,117,0.16,51,0.2,117,0.07,117,23,51,0.3,117,0,117,125,73b,0,117,50,73b,197,117,14,117,0.5,117,1,51,0,51,95,117,14,51
01.174,"Yoghurt, skimmed, fruit, 0,1 % fat, Yoplait",100,0,85,525,221,60a,52,60b,0.1,73d,0.1,73h,0,73h,0,73h,0,73h,0,419,8.9,63,0,10,8.9,73d,3,73a,0,526,3.9,73d,0.1,69,0,10,2,555,4,555,2,61,0,73g,0,525,1.1,555,0.29,525,0.1,525,0.07,525,8,525,0.2,526,1,525,115,73d,0.1,525,45,73d,180,525,13,525,0.4,525,1,526,0,526,110,525,M,20
01.221,"Yoghurt, fruit, 0,1 % fat",100,0,85,51,180,60a,42,60b,0.1,73d,0,73h,0,73h,0,73h,0,73h,0,50,6.3,63,0,10,6.3,73d,0,73d,0,62,4.1,73d,0.1,69,0,10,2,51,4,51,2,61,0,73g,0,51,0.04,51,0.29,51,0.1,51,0.07,51,8,51,0.2,51,1,51,115,51,0.1,51,45,51,180,51,13,51,0.4,51,1,51,0,51,110,51,M,20
01.222,"Yoghurt, with müesli and berries",100,0,69,117,574,60a,136,60b,3.3,73a,2.1,73h,0.1,73h,0.8,73h,0.1,73h,13,117,21.6,63,7.4,117,14.2,73a,10,73e,1.2,117,4.4,73a,0.2,69,0,10,28,117,19,117,29,61,0,73g,0.1,117,0.09,117,0.14,117,0.5,117,0.07,117,23,469,0.2,469,0,117,93,73d,0.1,117,65,117,182,117,24,117,0.3,117,1,117,0.02,117,106,117,14,51
